train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,time/total_timesteps,train/std,time/iterations,train/clip_fraction,train/approx_kl,train/clip_range,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.6253075660730246,-2.5583246275782585,0.9218433424830437,12567,-8.80583922,-0.009185015573893906,2990,2457600,0.8726937174797058,300,0.0810791015625,0.008505892,0.2,100.0,195,5.505919999999998e-05,-0.024054136127233505,,,
0.7158961716108024,-2.561676709167659,0.8848279044032097,12714,-8.004051649999997,-0.0061762758658005625,3030,2490368,0.8729255795478821,304,0.08182373046875,0.009776618,0.2,100.0,195,5.178239999999999e-05,0.14965730905532837,,,
0.2288388891844079,-2.554256629385054,0.9402908347547054,12861,-7.987954490000001,-0.007869001311337342,3070,2523136,0.868054986000061,308,0.08692626953125,0.009739597,0.2,100.0,196,4.85056e-05,0.10205929726362228,,,
0.4676142051030183,-2.5460679238662123,0.9260892793536186,13007,-8.394836109999998,-0.008390000708823208,3110,2555904,0.8654783964157104,312,0.07783203125,0.008370602,0.2,100.0,196,4.522880000000001e-05,0.028242677450180054,,,
0.4385168134234846,-2.5521218538284303,0.8544825464487076,13155,-8.12458676,-0.0082787203054977,3150,2588672,0.8704392313957214,316,0.0861572265625,0.008954095,0.2,100.0,196,4.195199999999999e-05,0.13146883249282837,,,
1.7867989668680822,-2.5484629476442935,0.8791621848940849,,,-0.006596107642326388,3170,2600000,0.8669713735580444,,0.06217041015625,0.007138595,0.2,,,4.031359999999999e-05,0.07888045161962509,0.05,-8.191894190000001,100.0
0.13113341355056035,-2.548781269416213,0.9195287004113197,13424,-7.295806009999999,-0.008524256115561003,3190,2621440,0.8684065937995911,320,0.07899169921875,0.007835316,0.2,100.0,195,3.867519999999999e-05,0.012454312294721603,,,
1.2883105140179396,-2.5550440143793822,0.9329233393073082,13570,-7.856319580000001,-0.005905030222493224,3230,2654208,0.8716505169868469,324,0.0615234375,0.006440743,0.2,100.0,195,3.53984e-05,0.4729098677635193,,,
1.5663138627482112,-2.5626224994659426,0.8602087497711182,13718,-8.40447963,-0.007003272632573498,3270,2686976,0.8740110397338867,328,0.072509765625,0.0074827876,0.2,100.0,195,3.212159999999998e-05,0.07794380187988281,,,
1.2595510610961356,-2.5518659820780156,0.8967370539903641,13865,-7.56955023,-0.005065138711142936,3310,2719744,0.8697415590286255,332,0.0465087890625,0.005879061,0.2,100.0,196,2.884479999999999e-05,0.4233381152153015,,,
